Employee,EducLev,JobGrade,YrsExper,Age,Gender,YrsPrior,PCJob,Salary
1,3,1,3,26,Male,1,No,"$32,000 "
2,1,1,14,38,Female,1,No,"$39,100 "
3,1,1,12,35,Female,0,No,"$33,200 "
4,2,1,8,40,Female,7,No,"$30,600 "
5,3,1,3,28,Male,0,No,"$29,000 "
6,3,1,3,24,Female,0,No,"$30,500 "
7,3,1,4,27,Female,0,No,"$30,000 "
8,3,1,8,33,Male,2,No,"$27,000 "
9,1,1,4,62,Female,0,No,"$34,000 "
10,3,1,9,31,Female,0,No,"$29,500 "
11,3,1,9,34,Female,2,No,"$26,800 "
12,2,1,8,37,Female,8,No,"$31,300 "
13,2,1,9,37,Female,0,No,"$31,200 "
14,2,1,10,58,Female,6,No,"$34,700 "
15,3,1,4,33,Female,0,No,"$30,000 "
16,3,1,3,27,Female,0,No,"$31,000 "
17,3,1,6,30,Female,0,No,"$27,000 "
18,2,1,8,37,Female,9,No,"$29,600 "
19,3,1,5,44,Female,6,No,"$32,600 "
20,2,1,4,29,Female,3,No,"$29,600 "
21,3,1,4,36,Female,2,No,"$29,500 "
22,2,1,3,28,Male,3,No,"$31,000 "
23,1,1,5,45,Female,0,No,"$28,500 "
24,2,1,3,33,Male,4,No,"$26,700 "
25,3,1,3,24,Male,1,No,"$30,750 "
26,3,1,3,27,Male,1,No,"$29,500 "
27,2,1,16,60,Female,6,No,"$42,200 "
28,1,1,13,48,Female,0,No,"$37,600 "
29,1,1,12,40,Female,6,No,"$34,000 "
30,2,1,4,33,Female,7,No,"$33,000 "
31,1,1,7,35,Female,4,No,"$28,760 "
32,1,1,11,44,Female,0,No,"$35,400 "
33,3,1,3,43,Male,8,No,"$31,000 "
34,2,1,18,46,Female,2,No,"$38,800 "
35,2,1,14,42,Female,0,No,"$34,300 "
36,1,1,19,47,Female,0,No,"$35,000 "
37,3,1,3,25,Female,2,Yes,"$34,600 "
38,2,1,2,30,Female,4,No,"$28,500 "
39,1,1,11,40,Female,0,No,"$29,500 "
40,3,1,3,26,Male,2,No,"$30,500 "
41,3,1,5,32,Female,1,No,"$34,200 "
42,1,1,15,51,Female,0,No,"$43,600 "
43,5,1,7,35,Female,0,Yes,"$33,500 "
44,3,1,12,37,Female,1,No,"$33,000 "
45,1,1,18,44,Female,0,No,"$45,300 "
46,1,1,17,53,Male,3,No,"$38,800 "
47,1,1,10,40,Female,0,No,"$29,900 "
48,3,1,5,51,Male,10,No,"$31,200 "
49,1,1,15,42,Female,0,No,"$34,000 "
50,2,1,2,53,Female,0,No,"$30,450 "
51,1,1,3,58,Male,3,No,"$35,500 "
52,1,1,4,44,Female,10,Yes,"$34,000 "
53,2,1,7,31,Female,0,No,"$29,100 "
54,1,1,8,64,Female,0,No,"$29,650 "
55,3,1,15,47,Female,1,No,"$29,200 "
56,3,1,9,37,Female,0,Yes,"$29,800 "
57,2,1,16,46,Female,0,No,"$33,500 "
58,1,1,8,55,Female,0,No,"$34,000 "
59,1,1,9,39,Female,0,No,"$29,600 "
60,3,1,18,51,Female,0,No,"$34,000 "
61,2,2,3,37,Female,8,No,"$37,250 "
62,2,2,6,30,Male,3,No,"$33,000 "
63,3,2,4,26,Female,0,No,"$28,600 "
64,5,2,5,41,Female,1,Yes,"$36,000 "
65,3,2,4,34,Female,4,Yes,"$37,300 "
66,2,2,7,57,Male,4,No,"$29,900 "
67,1,2,11,53,Female,8,No,"$31,500 "
68,3,2,5,32,Female,4,Yes,"$41,400 "
69,1,2,17,44,Female,5,No,"$32,740 "
70,3,2,3,25,Male,1,No,"$33,500 "
71,1,2,5,31,Female,9,No,"$32,000 "
72,1,2,9,50,Female,0,No,"$30,800 "
73,5,2,3,47,Female,3,Yes,"$42,000 "
74,3,2,4,35,Male,0,No,"$34,000 "
75,2,2,16,43,Female,0,No,"$32,500 "
76,2,2,9,46,Female,10,No,"$31,700 "
77,5,2,3,35,Male,0,No,"$36,500 "
78,3,2,4,22,Male,0,No,"$33,000 "
79,2,2,8,58,Female,0,No,"$31,200 "
80,5,2,8,40,Female,0,No,"$34,000 "
81,3,2,6,30,Female,0,No,"$33,000 "
82,5,2,4,29,Female,4,No,"$33,900 "
83,1,2,3,31,Female,9,Yes,"$39,000 "
84,2,2,12,52,Male,18,No,"$34,920 "
85,5,2,3,33,Male,5,No,"$39,000 "
86,1,2,8,49,Female,0,No,"$34,000 "
87,2,2,6,34,Female,7,No,"$31,900 "
88,5,2,3,26,Male,1,No,"$37,000 "
89,5,2,4,28,Male,0,No,"$34,000 "
90,5,2,3,35,Female,2,No,"$36,400 "
91,1,2,15,47,Female,1,Yes,"$38,200 "
92,1,2,15,51,Female,0,No,"$35,300 "
93,3,2,3,26,Male,2,No,"$34,500 "
94,3,2,12,33,Female,0,No,"$30,500 "
95,4,2,2,27,Male,2,No,"$30,000 "
96,5,2,8,34,Female,0,Yes,"$37,300 "
97,4,2,5,29,Female,0,No,"$40,200 "
98,3,2,5,27,Male,0,No,"$35,500 "
99,1,2,11,43,Female,0,No,"$35,000 "
100,3,2,4,36,Female,3,No,"$38,000 "
101,1,2,9,38,Female,0,No,"$35,300 "
102,2,2,14,60,Female,0,No,"$34,100 "
103,3,3,4,43,Female,5,Yes,"$43,200 "
104,2,3,15,48,Female,5,No,"$36,100 "
105,5,3,7,32,Female,3,No,"$34,600 "
106,3,3,5,31,Male,0,No,"$36,000 "
107,5,3,7,29,Female,2,No,"$36,200 "
108,3,3,7,35,Female,0,No,"$37,500 "
109,3,3,4,37,Female,12,No,"$41,000 "
110,2,3,10,43,Female,0,No,"$35,600 "
111,3,3,5,33,Female,5,No,"$39,800 "
112,4,3,11,58,Female,4,Yes,"$41,300 "
113,3,3,9,44,Female,7,No,"$42,500 "
114,3,3,4,37,Female,8,Yes,"$45,800 "
115,5,3,5,48,Female,6,No,"$34,900 "
116,5,3,4,26,Male,0,No,"$41,500 "
117,3,3,5,25,Female,0,No,"$38,000 "
118,4,3,6,38,Female,0,No,"$35,000 "
119,3,3,6,41,Female,0,No,"$40,000 "
120,3,3,5,29,Male,0,No,"$36,000 "
121,2,3,9,59,Female,0,No,"$33,700 "
122,2,3,5,29,Male,4,No,"$36,300 "
123,3,3,3,27,Female,2,Yes,"$38,000 "
124,5,3,4,30,Female,0,No,"$39,500 "
125,2,3,7,34,Female,5,No,"$36,300 "
126,3,3,8,35,Female,2,No,"$32,500 "
127,2,3,12,50,Female,6,No,"$37,000 "
128,5,3,3,33,Female,1,No,"$32,600 "
129,3,3,4,26,Female,0,No,"$36,000 "
130,5,3,3,36,Female,0,No,"$35,000 "
131,5,3,3,33,Female,5,Yes,"$43,600 "
132,3,3,8,47,Female,0,No,"$33,800 "
133,1,3,21,51,Female,0,No,"$35,300 "
134,1,3,16,42,Female,6,No,"$42,400 "
135,5,3,5,31,Male,0,No,"$39,500 "
136,2,3,25,62,Female,10,No,"$43,500 "
137,5,3,6,46,Male,1,No,"$42,000 "
138,3,3,21,60,Female,9,No,"$40,300 "
139,4,3,6,43,Male,5,No,"$44,000 "
140,1,3,25,53,Female,2,No,"$40,660 "
141,3,3,13,38,Female,1,No,"$39,700 "
142,5,3,6,39,Female,5,No,"$45,000 "
143,5,3,7,35,Female,0,No,"$43,900 "
144,4,3,8,40,Female,3,No,"$38,000 "
145,5,3,5,32,Female,3,No,"$39,020 "
146,5,4,5,33,Male,3,No,"$44,500 "
147,5,4,4,30,Male,1,No,"$41,000 "
148,5,4,6,37,Male,3,No,"$44,000 "
149,5,4,6,30,Male,0,No,"$44,000 "
150,5,4,5,32,Female,4,No,"$42,500 "
151,5,4,7,37,Female,3,No,"$40,260 "
152,5,4,5,29,Male,1,No,"$44,500 "
153,1,4,13,50,Female,9,No,"$35,500 "
154,5,4,6,29,Male,0,No,"$42,500 "
155,5,4,7,32,Female,0,No,"$44,000 "
156,5,4,6,31,Male,2,No,"$45,000 "
157,2,4,15,47,Female,4,No,"$44,400 "
158,3,4,17,44,Female,0,No,"$38,000 "
159,5,4,4,27,Male,0,No,"$41,800 "
160,1,4,23,55,Male,0,No,"$45,500 "
161,3,4,5,52,Male,4,No,"$42,500 "
162,5,4,3,50,Female,12,No,"$44,000 "
163,3,4,19,59,Female,8,Yes,"$54,300 "
164,3,4,26,47,Female,0,No,"$44,800 "
165,3,4,6,43,Male,4,No,"$47,000 "
166,5,4,15,41,Female,0,No,"$43,800 "
167,1,4,12,39,Female,4,Yes,"$48,000 "
168,5,4,9,39,Female,0,No,"$42,700 "
169,3,4,14,40,Female,1,Yes,"$48,500 "
170,3,4,16,49,Female,0,No,"$42,000 "
171,2,4,16,53,Female,1,No,"$45,500 "
172,3,4,11,37,Female,0,No,"$44,500 "
173,2,4,13,40,Female,2,No,"$51,200 "
174,5,5,7,34,Male,0,No,"$47,500 "
175,5,5,8,37,Female,0,No,"$44,500 "
176,5,5,8,31,Male,0,No,"$47,000 "
177,5,5,6,41,Male,10,No,"$47,000 "
178,3,5,17,46,Female,4,No,"$43,100 "
179,5,5,8,37,Male,2,No,"$49,000 "
180,5,5,8,33,Male,0,No,"$48,500 "
181,3,5,8,35,Female,5,No,"$45,000 "
182,5,5,16,49,Female,5,No,"$52,500 "
183,5,5,6,33,Male,2,No,"$47,500 "
184,5,5,7,31,Male,0,No,"$48,000 "
185,5,5,8,49,Male,4,No,"$46,500 "
186,5,5,12,40,Female,2,No,"$61,500 "
187,5,5,9,37,Female,2,No,"$50,000 "
188,5,5,12,46,Female,2,No,"$61,800 "
189,4,5,16,43,Female,0,No,"$43,000 "
190,5,5,11,36,Male,1,No,"$47,000 "
191,5,5,9,37,Female,6,No,"$58,500 "
192,5,5,16,40,Male,7,No,"$55,000 "
193,3,5,24,54,Male,3,No,"$57,000 "
194,5,5,17,57,Male,1,No,"$57,000 "
195,5,6,14,49,Male,0,No,"$60,000 "
196,3,6,13,41,Male,0,No,"$60,000 "
197,5,6,19,59,Male,4,No,"$59,000 "
198,5,6,12,51,Male,0,No,"$60,000 "
199,5,6,20,45,Male,0,No,"$65,000 "
200,5,6,20,56,Male,1,No,"$52,000 "
201,5,6,22,57,Male,0,No,"$58,000 "
202,4,6,21,53,Male,0,No,"$60,000 "
203,5,6,39,65,Male,0,No,"$74,000 "
204,3,6,34,60,Male,0,No,"$95,000 "
205,5,6,36,61,Male,0,No,"$97,000 "
206,5,6,32,62,Male,0,No,"$88,000 "
207,5,6,35,59,Male,0,No,"$94,000 "
208,5,6,33,62,Female,0,No,"$30,000 "
